example_id                                                                         | status | run_time            |
./spec/features/avo/default_field_spec.rb[1:1:1:1]                                 | passed | 0.0539 seconds      |
./spec/features/avo/default_field_spec.rb[1:1:1:2]                                 | passed | 0.12007 seconds     |
./spec/features/avo/default_field_spec.rb[1:2:1:1]                                 | passed | 0.08281 seconds     |
./spec/features/avo/default_field_spec.rb[1:2:1:2]                                 | passed | 0.12146 seconds     |
./spec/features/avo/default_field_spec.rb[1:3:1]                                   | passed | 0.05133 seconds     |
./spec/features/avo/destroy_record_spec.rb[1:1:1]                                  | passed | 1.91 seconds        |
./spec/features/avo/disabled_features_spec.rb[1:1:1:1]                             | passed | 0.05702 seconds     |
./spec/features/avo/disabled_features_spec.rb[1:1:2:1]                             | passed | 0.06131 seconds     |
./spec/features/avo/discreet_pagination_spec.rb[1:1:1:1:1]                         | passed | 0.16408 seconds     |
./spec/features/avo/discreet_pagination_spec.rb[1:1:1:2:1]                         | passed | 0.17968 seconds     |
./spec/features/avo/discreet_pagination_spec.rb[1:1:2:1:1]                         | passed | 0.141 seconds       |
./spec/features/avo/discreet_pagination_spec.rb[1:1:2:2:1]                         | passed | 0.13352 seconds     |
./spec/features/avo/dynamic_filters/boolean_filter_spec.rb[1:1:1]                  | passed | 0.34224 seconds     |
./spec/features/avo/dynamic_filters/boolean_filter_spec.rb[1:2:1]                  | passed | 0.19024 seconds     |
./spec/features/avo/dynamic_filters/date_filter_spec.rb[1:1:1]                     | passed | 0.32142 seconds     |
./spec/features/avo/dynamic_filters/date_filter_spec.rb[1:2:1]                     | passed | 0.19141 seconds     |
./spec/features/avo/dynamic_filters/date_filter_spec.rb[1:3:1]                     | passed | 0.11552 seconds     |
./spec/features/avo/dynamic_filters/date_filter_spec.rb[1:4:1]                     | passed | 0.13733 seconds     |
./spec/features/avo/dynamic_filters/date_filter_spec.rb[1:5:1]                     | passed | 0.09934 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:1:1]                   | passed | 2.26 seconds        |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:2:1]                   | passed | 0.58777 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:3:1]                   | passed | 0.53414 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:4:1]                   | passed | 0.56584 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:5:1]                   | passed | 0.4989 seconds      |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:6:1]                   | passed | 0.50012 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:7:1]                   | passed | 0.42476 seconds     |
./spec/features/avo/dynamic_filters/number_filter_spec.rb[1:8:1]                   | passed | 0.5101 seconds      |
./spec/features/avo/dynamic_filters/select_filter_spec.rb[1:1:1]                   | passed | 0.4318 seconds      |
./spec/features/avo/dynamic_filters/select_filter_spec.rb[1:2:1]                   | passed | 0.09684 seconds     |
./spec/features/avo/dynamic_filters/select_filter_spec.rb[1:3:1]                   | passed | 0.13231 seconds     |
./spec/features/avo/dynamic_filters/select_filter_spec.rb[1:4:1]                   | passed | 0.11098 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:1:1]                     | passed | 0.40616 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:2:1]                     | passed | 0.17061 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:3:1]                     | passed | 0.13472 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:4:1]                     | passed | 0.1415 seconds      |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:5:1]                     | passed | 0.10712 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:6:1]                     | passed | 0.09964 seconds     |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:7:1]                     | passed | 0.1366 seconds      |
./spec/features/avo/dynamic_filters/text_filter_spec.rb[1:8:1]                     | passed | 0.09688 seconds     |
./spec/features/avo/field_setter_missing_spec.rb[1:1:1]                            | passed | 0.05664 seconds     |
./spec/features/avo/field_setter_missing_spec.rb[1:2:1]                            | passed | 0.05813 seconds     |
